Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1961","1961","1000 ha","105938","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1962","1962","1000 ha","107236","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1963","1963","1000 ha","108110","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1964","1964","1000 ha","109132","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1965","1965","1000 ha","109980","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1966","1966","1000 ha","111953","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1967","1967","1000 ha","113450","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1968","1968","1000 ha","115844","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1969","1969","1000 ha","117219","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1970","1970","1000 ha","118716","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1971","1971","1000 ha","120263","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1972","1972","1000 ha","122048","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1973","1973","1000 ha","124974","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1974","1974","1000 ha","125924","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1975","1975","1000 ha","127609","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1976","1976","1000 ha","129454","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1977","1977","1000 ha","131189.7","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1978","1978","1000 ha","133188.1","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1979","1979","1000 ha","135141.5","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1980","1980","1000 ha","137398.9","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1981","1981","1000 ha","140206.3","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1982","1982","1000 ha","142400.7","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1983","1983","1000 ha","144649.85","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1984","1984","1000 ha","147043.7","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1985","1985","1000 ha","149149.5","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1986","1986","1000 ha","151125.8","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1987","1987","1000 ha","153466","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1988","1988","1000 ha","155602","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1989","1989","1000 ha","157764.8","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1990","1990","1000 ha","160456","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1991","1991","1000 ha","162465","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1992","1992","1000 ha","176700","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1993","1993","1000 ha","178724.2","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1994","1994","1000 ha","181228.1","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1995","1995","1000 ha","184112.8","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1996","1996","1000 ha","188263.7","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1997","1997","1000 ha","190666.64","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1998","1998","1000 ha","193439.2","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","1999","1999","1000 ha","196085.52","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2000","2000","1000 ha","199143.9","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2001","2001","1000 ha","203334.73","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2002","2002","1000 ha","208031.09","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2003","2003","1000 ha","213248.53","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2004","2004","1000 ha","215485.9786","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2005","2005","1000 ha","217188.5471","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2006","2006","1000 ha","219051.5557","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2007","2007","1000 ha","220809.2443","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2008","2008","1000 ha","222167.9129","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2009","2009","1000 ha","224522.8804","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2010","2010","1000 ha","227476.5","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2011","2011","1000 ha","229558.728","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2012","2012","1000 ha","232109.956","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2013","2013","1000 ha","234364.174","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2014","2014","1000 ha","235920.502","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2015","2015","1000 ha","237627.43","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2016","2016","1000 ha","238810.618","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2017","2017","1000 ha","239927.15","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2018","2018","1000 ha","240576.12","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2019","2019","1000 ha","244945.62","E","Estimated value"
"RL","Land Use","142","Asia","5110","Area","6690","Land area equipped for irrigation","2020","2020","1000 ha","245389.8046","E","Estimated value"
