Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1961","1961","hg/ha","7486","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1962","1962","hg/ha","8448","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1963","1963","hg/ha","8532","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1964","1964","hg/ha","8431","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1965","1965","hg/ha","9755","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1966","1966","hg/ha","9661","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1967","1967","hg/ha","10342","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1968","1968","hg/ha","10845","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1969","1969","hg/ha","10994","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1970","1970","hg/ha","11129","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1971","1971","hg/ha","12257","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1972","1972","hg/ha","12962","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1973","1973","hg/ha","12162","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1974","1974","hg/ha","12759","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1975","1975","hg/ha","14195","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1976","1976","hg/ha","15385","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1977","1977","hg/ha","14120","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1978","1978","hg/ha","15712","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1979","1979","hg/ha","17383","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1980","1980","hg/ha","16122","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1981","1981","hg/ha","17416","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1982","1982","hg/ha","18974","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1983","1983","hg/ha","20534","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1984","1984","hg/ha","21447","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1985","1985","hg/ha","21317","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1986","1986","hg/ha","22903","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1987","1987","hg/ha","21888","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1988","1988","hg/ha","22488","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1989","1989","hg/ha","22975","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1990","1990","hg/ha","23842","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1991","1991","hg/ha","23924","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1992","1992","hg/ha","23489","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1993","1993","hg/ha","23392","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1994","1994","hg/ha","22597","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1995","1995","hg/ha","23764","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1996","1996","hg/ha","24180","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1997","1997","hg/ha","26161","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1998","1998","hg/ha","25174","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","1999","1999","hg/ha","26502","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2000","2000","hg/ha","25984","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2001","2001","hg/ha","26010","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2002","2002","hg/ha","26223","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2003","2003","hg/ha","25941","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2004","2004","hg/ha","26801","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2005","2005","hg/ha","26851","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2006","2006","hg/ha","28304","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2007","2007","hg/ha","28653","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2008","2008","hg/ha","28210","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2009","2009","hg/ha","29465","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2010","2010","hg/ha","28517","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2011","2011","hg/ha","30506","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2012","2012","hg/ha","30509","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2013","2013","hg/ha","31056","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2014","2014","hg/ha","31552","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2015","2015","hg/ha","31789","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2016","2016","hg/ha","32651","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2017","2017","hg/ha","33284","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2018","2018","hg/ha","33633","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2019","2019","hg/ha","34155","E","Estimated value"
"QCL","Crops and livestock products","142","Asia","5419","Yield","0111","Wheat","2020","2020","hg/ha","34238","E","Estimated value"
